gid2019;pop_19;native_19;foreigners_19
5;17947221;15502665;2444556
51;5207457;4379023;828434
5111;621877;493024;128853
5112;498686;392014;106672
5113;582760;487581;95179
5114;227417;188896;38521
5116;261034;217739;43295
5117;170632;143758;26874
5119;210764;178195;32569
5120;111338;90663;20675
5122;159245;132417;26828
5124;355100;283227;71873
5154;312465;264639;47826
5154004;12955;11576;1379
5154008;30961;22398;8563
5154012;33730;29758;3972
5154016;34205;29200;5005
5154020;11977;11275;702
5154024;13884;12537;1347
5154028;12548;11882;666
5154032;28087;24611;3476
5154036;52388;41032;11356
5154040;10719;7053;3666
5154044;21100;19762;1338
5154048;6515;6176;339
5154052;16257;13737;2520
5154056;8224;7494;730
5154060;8129;7473;656
5154064;10786;8675;2111
5158;485570;424534;61036
5158004;43992;38415;5577
5158008;30406;27453;2953
5158012;26345;22237;4108
5158016;55625;48933;6692
5158020;59178;53169;6009
5158024;38757;34078;4679
5158026;40948;35375;5573
5158028;87520;76730;10790
5158032;81842;69653;12189
5158036;20957;18491;2466
5162;451730;397080;54650
5162004;64340;56086;8254
5162008;63743;55748;7995
5162012;23294;21812;1482
5162016;43493;39287;4206
5162020;33251;31141;2110
5162022;56415;49308;7107
5162024;153896;131237;22659
5162028;13298;12461;837
5166;298863;268253;30610
5166004;15745;14136;1609
5166008;14753;13771;982
5166012;34514;31943;2571
5166016;42496;36205;6291
5166020;15557;13653;1904
5166024;18969;17383;1586
5166028;29336;26923;2413
5166032;77102;67877;9225
5166036;50391;46362;4029
5170;459976;417003;42973
5170004;12479;11943;536
5170008;67373;60815;6558
5170012;26858;25507;1351
5170016;13598;13038;560
5170020;37596;32297;5299
5170024;103902;90331;13571
5170028;27187;24887;2300
5170032;30854;28745;2109
5170036;13602;13075;527
5170040;8673;8158;515
5170044;36017;33511;2506
5170048;60230;54418;5812
5170052;21607;20278;1329
53;4478847;3848245;630602
5313;-;-;-
5314;329673;272951;56722
5315;1087863;876608;211255
5316;163729;137080;26649
5334;557026;472290;84736
5334002;248960;201832;47128
5334004;47149;40213;6936
5334008;27093;23099;3994
5334012;56482;49217;7265
5334016;46375;41263;5112
5334020;11693;10740;953
5334024;8648;8106;542
5334028;15404;14483;921
5334032;56466;48980;7486
5334036;38756;34357;4399
5358;264638;235037;29601
5358004;13787;12186;1601
5358008;91216;75800;15416
5358012;4328;3988;340
5358016;8700;8198;502
5358020;7397;6927;470
5358024;32653;28014;4639
5358028;17444;16554;890
5358032;14028;13229;799
5358036;12662;11633;1029
5358040;9885;9269;616
5358044;10001;9532;469
5358048;14113;13104;1009
5358052;10572;9878;694
5358056;8455;7928;527
5358060;9397;8797;600
5362;470615;410424;60191
5362004;23658;20922;2736
5362008;61601;51330;10271
5362012;44126;38377;5749
5362016;21807;19342;2465
5362020;50010;46098;3912
5362024;52439;45466;6973
5362028;59731;52047;7684
5362032;66702;57550;9152
5362036;54194;49696;4498
5362040;36347;29596;6751
5366;193656;178495;15161
5366004;17440;16461;979
5366008;8268;7780;488
5366012;4215;3985;230
5366016;58381;51974;6407
5366020;7863;7345;518
5366024;11191;10564;627
5366028;27714;25717;1997
5366032;7491;7188;303
5366036;13128;11839;1289
5366040;17633;16345;1288
5366044;20332;19297;1035
5370;255555;225028;30527
5370004;43206;40112;3094
5370008;12576;10525;2051
5370012;27470;24293;3177
5370016;42236;36730;5506
5370020;40245;34816;5429
5370024;10137;6283;3854
5370028;24044;21440;2604
5370032;8842;7755;1087
5370036;18630;16961;1669
5370040;28169;26113;2056
5374;272057;245306;26751
5374004;18677;15426;3251
5374008;19298;17441;1857
5374012;50952;44334;6618
5374016;14958;13693;1265
5374020;21315;19803;1512
5374024;13522;12352;1170
5374028;10138;9437;701
5374032;17001;16133;868
5374036;21919;19455;2464
5374040;18600;17493;1107
5374044;19553;17370;2183
5374048;25161;23377;1784
5374052;20963;18992;1971
5378;283271;256244;27027
5378004;111846;99541;12305
5378008;18346;16030;2316
5378012;19662;18442;1220
5378016;28000;25751;2249
5378020;14967;14160;807
5378024;27100;24671;2429
5378028;28631;26016;2615
5378032;34719;31633;3086
5382;600764;538782;61982
5382004;23563;21210;2353
5382008;25812;22496;3316
5382012;48321;43644;4677
5382016;18749;16151;2598
5382020;47290;43813;3477
5382024;41277;36807;4470
5382028;30453;28327;2126
5382032;24817;22189;2628
5382036;14412;13606;806
5382040;19679;18534;1145
5382044;38667;34644;4023
5382048;26986;24816;2170
5382052;10420;9305;1115
5382056;55847;49590;6257
5382060;41554;35264;6290
5382064;18749;17450;1299
5382068;74953;64652;10301
5382072;20485;18639;1846
5382076;18730;17645;1085
55;2624625;2332059;292566
5512;117565;104256;13309
5513;259645;206178;53467
5515;315293;281384;33909
5554;371339;336192;35147
5554004;39381;35916;3465
5554008;71113;64937;6176
5554012;42629;39486;3143
5554016;17254;16245;1009
5554020;48321;38494;9827
5554024;8653;7991;662
5554028;8218;7868;350
5554032;10636;9276;1360
5554036;7326;6655;671
5554040;11431;10777;654
5554044;14888;14184;704
5554048;19299;18169;1130
5554052;6868;5826;1042
5554056;20283;18442;1841
5554060;9262;8416;846
5554064;13107;12444;663
5554068;22670;21066;1604
5558;220586;206120;14466
5558004;15494;14536;958
5558008;11597;11000;597
5558012;36257;33537;2720
5558016;46657;43364;3293
5558020;11943;11276;667
5558024;24822;23060;1762
5558028;10111;9701;410
5558032;19619;18399;1220
5558036;12923;12398;525
5558040;10754;9933;821
5558044;20409;18916;1493
5562;614137;543727;70410
5562004;73343;65466;7877
5562008;34596;31113;3483
5562012;74704;69359;5345
5562014;75610;63809;11801
5562016;37850;36203;1647
5562020;61821;52618;9203
5562024;84067;73910;10157
