gid2019;pop_19;native_19;foreigners_19
5562028;31421;26570;4851
5562032;111397;97465;13932
5562036;29328;27214;2114
5566;448220;405870;42350
5566004;10327;9622;705
5566008;36029;32655;3374
5566012;37753;33605;4148
5566016;20344;19002;1342
5566020;7650;7132;518
5566024;6545;6019;526
5566028;51822;47540;4282
5566032;6688;6212;476
5566036;6744;6149;595
5566040;22660;19372;3288
5566044;8604;7966;638
5566048;14095;12509;1586
5566052;6360;5826;534
5566056;11828;11074;754
5566060;13887;12895;992
5566064;9640;8870;770
5566068;19662;17593;2069
5566072;11376;10520;856
5566076;76218;67231;8987
5566080;7091;6554;537
5566084;34325;30918;3407
5566088;9070;8418;652
5566092;11241;10508;733
5566096;8261;7680;581
5570;277840;248332;29508
5570004;52503;44182;8321
5570008;36815;32015;4800
5570012;6125;5521;604
5570016;15556;14803;753
5570020;19810;17823;1987
5570024;9678;8973;705
5570028;29238;25559;3679
5570032;11007;10227;780
5570036;14193;12906;1287
5570040;13193;12090;1103
5570044;19911;18401;1510
5570048;12654;11584;1070
5570052;37157;34248;2909
57;2055724;1839612;216112
5711;334195;283871;50324
5754;364938;316302;48636
5754004;8968;7965;1003
5754008;100861;84492;16369
5754012;21577;19549;2028
5754016;25163;21574;3589
5754020;16004;14355;1649
5754024;8619;7736;883
5754028;48644;39026;9618
5754032;29545;26413;3132
5754036;26872;24943;1929
5754040;20614;18790;1824
5754044;25318;22758;2560
5754048;21603;18574;3029
5754052;11150;10127;1023
5758;250578;226737;23841
5758004;45187;40930;4257
5758008;20490;19051;1439
5758012;66638;57864;8774
5758016;19705;18429;1276
5758020;16023;15090;933
5758024;39915;35764;4151
5758028;9758;9191;567
5758032;14482;13499;983
5758036;18380;16919;1461
5762;140251;131865;8386
5762004;18959;17327;1632
5762008;13103;12313;790
5762012;8543;8267;276
5762016;16137;15069;1068
5762020;28808;27075;1733
5762024;4902;4724;178
5762028;6084;5817;267
5762032;12528;11764;764
5762036;23076;21738;1338
5762040;8111;7771;340
5766;347514;317176;30338
5766004;10032;8663;1369
5766008;54254;47193;7061
5766012;8501;8063;438
5766016;15115;14195;920
5766020;74254;67036;7218
5766024;7680;7386;294
5766028;11069;10473;596
5766032;17263;15438;1825
5766036;13471;12793;678
5766040;34858;32160;2698
5766044;40619;37446;3173
5766048;16263;15333;930
5766052;9390;8759;631
5766056;17142;15560;1582
5766060;8344;7947;397
5766064;9259;8731;528
5770;310409;284779;25630
5770004;48604;43262;5342
5770008;24782;22582;2200
5770012;15374;14917;457
5770016;13032;12489;543
5770020;25541;23242;2299
5770024;81716;72104;9612
5770028;25119;24082;1037
5770032;35631;33759;1872
5770036;12188;11540;648
5770040;15402;14503;899
5770044;13020;12299;721
5774;307839;278882;28957
5774004;9113;8703;410
5774008;16237;14057;2180
5774012;13393;12673;720
5774016;21515;19912;1603
5774020;31989;29375;2614
5774024;16281;15310;971
5774028;10570;10021;549
5774032;151633;133798;17835
5774036;24956;23690;1266
5774040;12152;11343;809
59;3580568;3103726;476842
5911;365587;316880;48707
5913;588250;481432;106818
5914;188686;152167;36519
5915;179916;151324;28592
5916;156449;128345;28104
5954;324106;289817;34289
5954004;8943;8499;444
5954008;30142;26631;3511
5954012;30701;26547;4154
5954016;54438;49190;5248
5954020;22755;21036;1719
5954024;28537;24648;3889
5954028;24739;23340;1399
5954032;27392;24801;2591
5954036;96459;85125;11334
5958;259777;236033;23744
5958004;73456;66059;7397
5958008;10623;9356;1267
5958012;25451;23635;1816
5958016;8811;8200;611
5958020;4465;4057;408
5958024;19540;18210;1330
5958028;8000;7281;719
5958032;29786;26746;3040
5958036;14430;13515;915
5958040;24852;22850;2002
5958044;27725;24789;2936
5958048;12638;11335;1303
5962;410222;354942;55280
5962004;16718;14720;1998
5962008;11201;10384;817
5962012;16083;14210;1873
5962016;34062;30532;3530
5962020;6954;6483;471
5962024;92174;79747;12427
5962028;16119;14715;1404
5962032;72313;59072;13241
5962036;20367;18170;2197
5962040;52608;46717;5891
5962044;6546;5868;678
5962048;11889;10429;1460
5962052;25237;20753;4484
5962056;10294;9443;851
5962060;17657;13699;3958
5966;133955;120971;12984
5966004;24264;21121;3143
5966008;11783;10948;835
5966012;16955;14810;2145
5966016;11485;10667;818
5966020;25308;22953;2355
5966024;24551;22075;2476
5966028;19609;18397;1212
5970;276944;246675;30269
5970004;18914;17635;1279
5970008;14856;12747;2109
5970012;6934;6579;355
5970016;17711;16751;960
5970020;14801;13543;1258
5970024;31122;26959;4163
5970028;13504;12602;902
5970032;23081;21248;1833
5970036;13165;11509;1656
5970040;102770;88050;14720
5970044;20086;19052;1034
5974;301785;272390;29395
5974004;10238;9622;616
5974008;12065;11280;785
5974012;12162;11587;575
5974016;16065;14890;1175
5974020;21422;19643;1779
5974024;11894;11343;551
5974028;67952;59257;8695
5974032;11722;10409;1313
5974036;10826;9699;1127
5974040;47514;43178;4336
5974044;24643;22738;1905
5974048;11833;11406;427
5974052;30767;26799;3968
5974056;12682;10539;2143
5978;394891;352750;42141
5978004;48740;42445;6295
5978008;18171;15965;2206
5978012;20760;19069;1691
5978016;17076;15593;1483
5978020;43023;38879;4144
5978024;86348;73893;12455
5978028;46195;41460;4735
5978032;25925;24175;1750
5978036;58936;53543;5393
5978040;29717;27728;1989
