gid2019;pop_22;native_22;foreigners_22
5566096;8314;7683;631
5570;282263;246949;35314
5570004;53348;43632;9716
5570008;37333;31709;5624
5570012;6247;5530;717
5570016;15874;14799;1075
5570020;19757;17626;2131
5570024;9733;8926;807
5570028;29644;25379;4265
5570032;11500;10465;1035
5570036;14455;12858;1597
5570040;13671;12343;1328
5570044;20222;18288;1934
5570048;12863;11646;1217
5570052;37616;33748;3868
57;2085331;1821940;263391
5711;338332;279448;58884
5754;371309;314914;56395
5754004;9253;8023;1230
5754008;102393;83615;18778
5754012;21970;19514;2456
5754016;25999;21625;4374
5754020;16379;14382;1997
5754024;8747;7694;1053
5754028;49486;38561;10925
5754032;29919;26543;3376
5754036;27467;24967;2500
5754040;20671;18666;2005
5754044;25522;22694;2828
5754048;22274;18601;3673
5754052;11229;10029;1200
5758;253551;223682;29869
5758004;46030;40464;5566
5758008;20705;18911;1794
5758012;67459;56635;10824
5758016;19924;18294;1630
5758020;16366;15142;1224
5758024;40265;35304;4961
5758028;9891;9185;706
5758032;14416;13131;1285
5758036;18495;16616;1879
5762;141819;130048;11771
5762004;19390;17254;2136
5762008;13238;12053;1185
5762012;8761;8103;658
5762016;16372;14912;1460
5762020;28709;26467;2242
5762024;4970;4707;263
5762028;6157;5743;414
5762032;12612;11666;946
5762036;23322;21384;1938
5762040;8288;7759;529
5766;350588;313273;37315
5766004;10365;8622;1743
5766008;54808;46617;8191
5766012;8611;7915;696
5766016;15407;14208;1199
5766020;75089;65963;9126
5766024;7660;7239;421
5766028;11004;10210;794
5766032;17290;15311;1979
5766036;13401;12470;931
5766040;35423;31890;3533
5766044;40594;36969;3625
5766048;16614;15383;1231
5766052;9364;8534;830
5766056;17238;15407;1831
5766060;8363;7816;547
5766064;9357;8719;638
5770;315974;282122;33852
5770004;49477;42978;6499
5770008;25174;22509;2665
5770012;15728;14952;776
5770016;13281;12462;819
5770020;26027;22815;3212
5770024;83076;70691;12385
5770028;25222;23743;1479
5770032;36374;33611;2763
5770036;12531;11440;1091
5770040;15773;14583;1190
5770044;13311;12338;973
5774;313758;278453;35305
5774004;9212;8633;579
5774008;16808;14322;2486
5774012;13685;12714;971
5774016;21483;19538;1945
5774020;32774;29599;3175
5774024;16522;15293;1229
5774028;10867;10089;778
5774032;154755;133303;21452
5774036;25311;23625;1686
5774040;12341;11337;1004
59;3600754;3044244;556510
5911;365742;309527;56215
5913;593317;470177;123140
5914;189783;147152;42631
5915;180849;148282;32567
5916;157368;125223;32145
5954;325193;284926;40267
5954004;9041;8452;589
5954008;30652;26436;4216
5954012;31097;26441;4656
5954016;54637;48302;6335
5954020;22758;20686;2072
5954024;28723;24202;4521
5954028;24838;23054;1784
5954032;27550;24405;3145
5954036;95897;82948;12949
5958;261647;232537;29110
5958004;74323;65409;8914
5958008;10695;9210;1485
5958012;25511;23164;2347
5958016;8920;8145;775
5958020;4537;3986;551
5958024;19736;17822;1914
5958028;8101;7146;955
5958032;30025;26326;3699
5958036;14509;13323;1186
5958040;24878;22495;2383
5958044;27741;24456;3285
5958048;12671;11055;1616
5962;410346;347925;62421
5962004;16430;14213;2217
5962008;11143;10237;906
5962012;16347;14208;2139
5962016;34024;29980;4044
5962020;6954;6388;566
5962024;92540;78060;14480
5962028;16422;14682;1740
5962032;71865;57071;14794
5962036;20812;18176;2636
5962040;52485;45994;6491
5962044;6466;5681;785
5962048;11793;10275;1518
5962052;24954;20100;4854
5962056;10284;9333;951
5962060;17827;13527;4300
5966;134439;119213;15226
5966004;24448;20973;3475
5966008;11763;10808;955
5966012;16851;14429;2422
5966016;11445;10387;1058
5966020;25352;22521;2831
5966024;25015;21935;3080
5966028;19565;18160;1405
5970;277136;241684;35452
5970004;18923;17305;1618
5970008;15315;12538;2777
5970012;6970;6454;516
5970016;17773;16622;1151
5970020;14775;13278;1497
5970024;31197;26627;4570
5970028;13467;12343;1124
5970032;23363;21242;2121
5970036;13000;11303;1697
5970040;102560;85292;17268
5970044;19793;18680;1113
5974;306068;270264;35804
5974004;10359;9562;797
5974008;12451;11370;1081
5974012;12326;11528;798
5974016;16333;14835;1498
5974020;21685;19568;2117
5974024;11966;11171;795
5974028;68890;58808;10082
5974032;11869;10428;1441
5974036;10957;9734;1223
5974040;48607;42539;6068
5974044;24647;22198;2449
5974048;11966;11387;579
5974052;31045;26643;4402
5974056;12967;10493;2474
5978;398866;347334;51532
5978004;49263;41663;7600
5978008;18438;15761;2677
5978012;20548;18645;1903
5978016;17298;15538;1760
5978020;43058;38218;4840
5978024;86868;72350;14518
5978028;46658;41044;5614
5978032;26163;24128;2035
5978036;60892;52683;8209
5978040;29680;27304;2376
