gid2015,income_pp,income_rank
Hellenthal,23 142,271
Kali,23 129,272
Wettringen,23 125,273
Hörstel,23089,274
Bedburg,23088,275
Leopoldshöhe,23074,276
Medebach,23050,277
Leverkusen,23028,278
Kirchlengem,22987,279
Wickede (Ruhr),22 967,280
Löhne,22955,281
Siegburg,22950,282
Altenbeken,22931,283
Lengerich,22921,284
Zülpich,22921,285
Petershagen,22916,286
Dorsten,22909,287
Witten,22 897,288
Siegen,22 852,289
Würselen,22 836,290
Kevelaer,22805,291
Mettingen,22804,292
Schleiden,22801,293
Harsewinkel,22781,294
Linnich,22768,295
Mechernich,22760,296
Beverungen,22759,297
Wesel,22715,298
Bielefeld,22701,299
Recklinghausen,22627,300
Troisdorf,22606,301
Steinfurt,22600,302
Bedburg-Hau,22586,303
Horstmar,22544,304
Krefeld,22453,305
Rees,22447,306
Blankenheim,22444,307
Gummersbach,22439,308
Brakel,22435,309
Monheim am Rhein,22412,310
Schieder-Schwalenberg,22410,311
Elsdorf,22394,312
Moers,22390,313
Nettetal,22382,314
Bergneustadt,22377,315
Schlangen,22371,316
Nieheim,22317,317
Ochtrup,22306,318
Vettweiß,22283,319
Sassenberg,22256,320
Gescher,22237,321
Niederzier,22206,322
Kalkar,22203,323
Viersen,22 162,324
Waldfeucht,22 154,325
Inden,22 150,326
Aachen,22 131,327
Wuppertal,22 128,328
Minden,22086,329
Büren,22084,330
Kerpen,22060,331
Kamen,22050,332
Bad Driburg,21 973,333
Voerde (Niederrhein),21 939,334
Ibbenbüren,21 906,335
Isselburg,21 796,336
Hom-Bad Meinberg,21 796,337
Ahlen,21 743,338
Geseke,21 740,339
Mönchengladbach,21 729,340
Recke,21 718,341
Herzogenrath,21 705,342
Essen,21 636,343
Wassenberg,21 616,344
Bergheim,21 606,345
Metelen,21 573,346
Paderborn,21 567,347
Eitorf,21 533,348
Geilenkirchen,21 506,349
Bottrop,21 486,350
Castrop-Rauxel,21 353,351
Heinsberg,21 306,352
Lotte,21 266,353
Lage,21 229,354
Werdohl,21 217,355
Bönen,21 216,356
Bad Lippspringe,21 200,357
Euskirchen,21 177,358
Bochum,21 152,359
Datteln,21 145,360
Marl,21 143,361
Wesseling,21 114,362
Hagen,20886,363
Stolberg (Rhld.),20863,364
Werl,20860,365
Waldbröl,20852,366
Ald enhoven,20819,367
Willebadessen,20701,368
Espelkamp,20638,369
Selfkant,20603,370
Gang elt,20469,371
Goch,20434,372
Baesweiler,20378,373
Dortmund,20363,374
